Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0035472,-0.015685,0.00012867,0,0,0,5,0.0031694,-6.3109E-06,-1.7238E-07,0.010685,1.0915E-07,0.009926,0,0,0,0,0,0,package://claw/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://claw/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hip1,-0.023449,-0.012102,0.12134,0,0,0,1,0.00038685,-1.3557E-05,-2.6501E-06,0.00040347,2.7091E-05,0.00035185,0,0,0,0,0,0,package://claw/meshes/hip1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://claw/meshes/hip1.STL,,Front Left Hip-1,Origin_HA1,Axis_HA1,HA1,continuous,0.0645,0.1407,-0.030524,0,1.5708,0,base_link,0,0,1,,,,,,,,,,,,
leg1_link1,0.081078,-5.4044E-05,0.010528,0,0,0,1.5,0.00016951,-3.6625E-05,3.3507E-07,0.0011555,5.0545E-08,0.0013025,0,0,0,0,0,0,package://claw/meshes/leg1_link1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://claw/meshes/leg1_link1.STL,,Left Leg-1,Origin_HF1,Axis_HF1,HF1,continuous,0.0361733752673749,0,0.173825001007693,-1.5707963267949,0,0,hip1,0,0,1,,,,,,,,,,,,
leg1_link2,0.062745,0.00028101,0.0091689,0,0,0,0.3,2.4886E-05,4.039E-07,-5.3837E-08,8.2423E-05,-2.8631E-08,9.1326E-05,0,0,0,0,0,0,package://claw/meshes/leg1_link2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://claw/meshes/leg1_link2.STL,,Left Leg End Effector-1,Origin_KF1,Axis_KF1,KF1,continuous,0.2245,0,0,0,0,-0.0014246,leg1_link1,0,0,1,,,,,,,,,,,,
hip2,-0.023416,0.01208,0.12041,0,0,0,1,0.00038698,1.3536E-05,-2.6717E-06,0.00040367,-2.7103E-05,0.00035209,0,0,0,0,0,0,package://claw/meshes/hip2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://claw/meshes/hip2.STL,,Front Right Hip-1,Origin_HA2,Axis_HA2,HA2,continuous,0.0654999999999997,-0.140699273206225,-0.0305242368205386,0,1.5707963267949,0,base_link,0,0,1,,,,,,,,,,,,
leg2_link1,0.081078,-5.1327E-05,-0.010528,0,0,0,1.5,0.00016951,-3.6626E-05,-3.3506E-07,0.0011555,-4.7415E-08,0.0013025,0,0,0,0,0,0,package://claw/meshes/leg2_link1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://claw/meshes/leg2_link1.STL,,Right Leg-1,Origin_HF2,Axis_HF2,HF2,continuous,0.0361733752673847,0,0.172825001007691,-1.5707963267949,0,0,hip2,0,0,1,,,,,,,,,,,,
leg2_link2,0.062744,0.00028101,-0.009169,0,0,0,0.3,2.4886E-05,4.039E-07,5.3766E-08,8.2423E-05,2.8771E-08,9.1326E-05,0,0,0,0,0,0,package://claw/meshes/leg2_link2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://claw/meshes/leg2_link2.STL,,Right Leg End Effector-1,Origin_KF2,Axis_KF2,KF2,continuous,0.22449657290337,0,0,0,0,-0.00142456498764465,leg2_link1,0,0,1,,,,,,,,,,,,
hip3,-0.023415,0.012095,-0.1106,0,0,0,1,0.00038695,1.355E-05,-3.9215E-05,0.00040367,2.8393E-05,0.00035212,0,0,0,0,0,0,package://claw/meshes/hip3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://claw/meshes/hip3.STL,,Rear Right Hip-1,Origin_HA3,Axis_HA3,HA3,continuous,-0.0655000000000001,-0.140699273206226,-0.0305242368205381,0,1.5707963267949,0,base_link,0,0,1,,,,,,,,,,,,
leg3_link1,0.081078,-5.1327E-05,-0.010528,0,0,0,1.5,0.00016951,-3.6626E-05,-3.3506E-07,0.0011555,-4.7415E-08,0.0013025,0,0,0,0,0,0,package://claw/meshes/leg3_link1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://claw/meshes/leg3_link1.STL,,Right Leg-2,Origin_HF3,Axis_HF3,HF3,continuous,0.0361733752673756,0,-0.116174998992309,-1.5707963267949,0,0,hip3,0,0,1,,,,,,,,,,,,
leg3_link2,0.062744,0.00028101,-0.009169,0,0,0,0.3,2.4886E-05,4.039E-07,5.3766E-08,8.2423E-05,2.8771E-08,9.1326E-05,0,0,0,0,0,0,package://claw/meshes/leg3_link2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://claw/meshes/leg3_link2.STL,,Right Leg End Effector-2,Origin_KF3,Axis_KF3,KF3,continuous,0.22449657290337,0,0,0,0,-0.00013038185156131,leg3_link1,0,0,1,,,,,,,,,,,,
hip4,-0.02344,-0.012117,-0.11057,0,0,0,1,0.00038684,-1.3565E-05,-3.9188E-05,0.00040347,-2.8419E-05,0.00035187,0,0,0,0,0,0,package://claw/meshes/hip4.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://claw/meshes/hip4.STL,,Rear Left Hip-1,Origin_HA4,Axis_HA4,HA4,continuous,-0.0655,0.1407,-0.030524,0,1.5708,0,base_link,0,0,1,,,,,,,,,,,,
leg4_link1,0.081078,-5.4044E-05,0.010528,0,0,0,1.5,0.00016951,-3.6625E-05,3.3507E-07,0.0011555,5.0545E-08,0.0013025,0,0,0,0,0,0,package://claw/meshes/leg4_link1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://claw/meshes/leg4_link1.STL,,Left Leg-2,Origin_HF4,Axis_HF4,HF4,continuous,0.0361733752673765,0,-0.116174998992308,-1.5707963267949,0,0,hip4,0,0,1,,,,,,,,,,,,
leg4_link2,0.062745,0.00028101,0.0091689,0,0,0,0.3,2.4886E-05,4.039E-07,-5.3837E-08,8.2423E-05,-2.8631E-08,9.1326E-05,0,0,0,0,0,0,package://claw/meshes/leg4_link2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://claw/meshes/leg4_link2.STL,,Left Leg End Effector-2,Origin_KF4,Axis_KF4,KF4,continuous,0.2245,0,0,0,0,-0.00013038,leg4_link1,0,0,1,,,,,,,,,,,,
